구분,총계,방범,어린이보호구역,공원·놀이터,쓰레기무단투기,시설안전·화재예방,교통단속,교통정보수집·분석,기타다른법령
종로구,1715 ,1403 ,39 ,131 ,,19 ,123 ,,
중구,2447 ,1572 ,76 ,201 ,62 ,62 ,307 ,8 ,159 
용산구,2611 ,1934 ,235 ,152 ,,,290 ,,
성동구,3829 ,2600 ,573 ,196 ,150 ,12 ,298 ,0 ,0 
광진구,3211 ,2267 ,625 ,150 ,69 ,24 ,76 ,0 ,0 
동대문구,2628 ,1981 ,282 ,180 ,28 ,1 ,142 ,0 ,14 
중랑구,3737 ,3282 ,141 ,158 ,11 ,64 ,81 ,,
성북구,4602 ,2792 ,432 ,213 ,378 ,555 ,214 ,18 ,
강북구,3090 ,2138 ,343 ,189 ,290 ,34 ,96 ,0 ,0 
도봉구,1930 ,1048 ,216 ,279 ,141 ,153 ,93 ,,
노원구,2492 ,1341 ,260 ,445 ,125 ,173 ,148 ,0 ,0 
은평구,4131 ,2608 ,749 ,465 ,,161 ,125 ,,23 
서대문구,3055 ,1904 ,140 ,547 ,,101 ,331 ,,32 
마포구,2496 ,2010 ,195 ,167 ,0 ,0 ,124 ,0 ,0 
양천구,3650 ,2253 ,829 ,311 ,,,151 ,106 ,
강서구,2744 ,2211 ,218 ,181 ,27 ,0 ,107 ,0 ,0 
구로구,4608 ,2872 ,538 ,403 ,29 ,230 ,387 ,,149 
금천구,2411 ,1783 ,267 ,182 ,44 ,0 ,135 ,0 ,0 
영등포,4056 ,3048 ,271 ,189 ,0 ,5 ,543 ,0 ,0 
동작구,2306 ,1621 ,395 ,146 ,19 ,82 ,43 ,0 ,0 
관악구,5149 ,2686 ,259 ,297 ,148 ,673 ,643 ,0 ,443 
서초구,4082 ,2993 ,207 ,242 ,0 ,142 ,372 ,0 ,126 
강남구,6871 ,4839 ,784 ,520 ,0 ,116 ,612 ,0 ,0 
송파구,2897 ,1648 ,318 ,554 ,,87 ,290 ,,
강동구,2809 ,2327 ,232 ,161 ,,,89 ,,
